id,username,email,password
1,skittle,medencevivan1@gmail.com,123321qweewq
2,skittleNotReal,medencevivan1@gmail.com,123321qweewq
6,thung sagur,medencevivan1@gmail.com,123321qweewq
7,bombardirocrocodilo,asdasd@gmas.com,123321qweewq
8,alice,alice@example.com,password123
10,bob,bob@example.com,bobpass456
11,charlie,charlie@example.com,charlie789
12,david,david@example.com,david321
13,eva,eva@example.com,eva2024
14,frank,frank@example.com,frankpass
15,grace,grace@example.com,grace2025
16,hannah,hannah@example.com,hannah88
17,ivan,ivan@example.com,ivanpass1
18,julia,julia@example.com,julia777
19,karen,karen@example.com,karenpass
20,leo,leo@example.com,leoleo
21,mia,mia@example.com,mia1234
22,nathan,nathan@example.com,nathan98
23,olivia,olivia@example.com,olivia111
24,peter,peter@example.com,peter321
25,quinn,quinn@example.com,quinnpass
26,rachel,rachel@example.com,rachel007
27,sam,sam@example.com,samsecure
28,tina,tina@example.com,tina2025
29,ursula,ursula@example.com,ursula888
30,victor,victor@example.com,victorpass
31,wendy,wendy@example.com,wendy123
32,xander,xander@example.com,xanderx
33,yasmin,yasmin@example.com,yasmin99
34,zack,zack@example.com,zackpass
35,anna,anna@example.com,anna654
36,brian,brian@example.com,brianpass
37,cindy,cindy@example.com,cindycindy
38,diego,diego@example.com,diego777

